Timestamp: 1656014796.1257937, Acceleration: [' 0.02', '-0.12', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.1360443, Acceleration: [' 0.06', ' 0.12', '10.08'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.1461735, Acceleration: [' 0.00', ' 0.20', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.1560798, Acceleration: [' 0.21', ' 0.25', ' 9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.166351, Acceleration: ['-0.02', ' 0.15', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.175695, Acceleration: ['-0.08', ' 0.12', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.1870852, Acceleration: [' 0.08', '-0.08', ' 9.99'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.195764, Acceleration: [' 0.15', '-0.11', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.2059705, Acceleration: [' 0.02', '-0.12', '10.07'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.2157526, Acceleration: [' 0.06', ' 0.03', '10.09'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.2259967, Acceleration: [' 0.05', ' 0.05', ' 9.94'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.2355945, Acceleration: [' 0.09', ' 0.10', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.24576, Acceleration: [' 0.13', ' 0.06', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.2556446, Acceleration: [' 0.02', ' 0.13', '10.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
Timestamp: 1656014796.2655864, Acceleration: [' 0.24', '-0.02', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', '-0.00', ' 0.03'] 
