Timestamp: 1647980840.7546384, Acceleration: [' 0.07', ' 0.11', ' 9.59'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.7646155, Acceleration: [' 0.01', ' 0.23', ' 9.70'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.7747555, Acceleration: [' 0.03', ' 0.26', ' 9.74'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.7851877, Acceleration: [' 0.01', ' 0.23', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.7945635, Acceleration: [' 0.04', ' 0.11', ' 9.62'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.8060484, Acceleration: ['-0.01', ' 0.17', ' 9.52'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.8152032, Acceleration: [' 0.00', ' 0.20', ' 9.80'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.824577, Acceleration: [' 0.00', ' 0.18', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.8347101, Acceleration: ['-0.01', ' 0.18', ' 9.74'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.8447533, Acceleration: [' 0.05', ' 0.12', ' 9.68'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980840.855468, Acceleration: [' 0.07', ' 0.12', ' 9.63'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
