Timestamp: 1656013888.6080146, Acceleration: [' 0.22', ' 0.46', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.6179638, Acceleration: [' 0.06', ' 0.41', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.628128, Acceleration: [' 0.46', ' 0.43', '10.07'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.6393542, Acceleration: [' 0.28', '-0.06', ' 8.89'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.64796, Acceleration: [' 0.24', ' 0.01', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.658382, Acceleration: ['-0.39', '-0.19', ' 8.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.6681476, Acceleration: [' 0.11', '-0.19', ' 9.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.6784327, Acceleration: ['-0.02', ' 0.15', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.6880739, Acceleration: [' 0.06', ' 0.37', ' 9.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7007236, Acceleration: [' 0.36', ' 0.16', ' 9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7131548, Acceleration: [' 0.11', '-0.11', ' 9.46'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7201865, Acceleration: [' 0.33', '-0.04', ' 9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.731266, Acceleration: [' 0.09', '-0.11', ' 9.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7381706, Acceleration: [' 0.45', ' 0.10', ' 9.51'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7479613, Acceleration: ['-0.12', '-0.16', ' 9.36'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7580361, Acceleration: ['-0.05', '-0.27', ' 8.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7680502, Acceleration: [' 0.03', '-0.00', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7779632, Acceleration: ['-0.04', ' 0.22', ' 9.08'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7878153, Acceleration: [' 0.47', ' 0.49', '10.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.7980433, Acceleration: [' 0.17', ' 0.59', ' 8.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.807795, Acceleration: [' 0.65', ' 0.26', ' 9.66'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.8179476, Acceleration: [' 0.02', ' 0.30', ' 9.21'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
Timestamp: 1656013888.827811, Acceleration: [' 0.31', '-0.11', ' 9.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.01', ' 0.02', '-0.01'] 
