Timestamp: 1656017367.6335788, Acceleration: ['-0.66', '-0.01', '-10.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017367.6421068, Acceleration: ['-0.92', ' 0.04', '-10.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017367.6517544, Acceleration: ['-0.63', '-0.06', '-10.65'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017367.662654, Acceleration: ['-0.54', ' 0.10', '-10.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017367.6720545, Acceleration: ['-0.49', '-0.08', '-11.39'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017367.6833348, Acceleration: ['-0.44', '-0.20', '-10.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017367.6922195, Acceleration: ['-1.29', '-0.20', '-12.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017367.7020142, Acceleration: ['-1.08', '-0.18', '-10.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017367.7116673, Acceleration: ['-1.50', ' 0.15', '-10.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017367.7220545, Acceleration: ['-0.42', ' 0.17', '-9.45'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
