Timestamp: 1648004850.0170224, Acceleration: ['-0.13', '-0.21', ' 9.77'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.0269878, Acceleration: ['-0.10', '-0.20', ' 9.72'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.0370083, Acceleration: ['-0.10', '-0.24', ' 9.79'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.0471137, Acceleration: ['-0.13', '-0.06', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.0570402, Acceleration: ['-0.06', '-0.27', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.0670512, Acceleration: [' 0.13', '-0.25', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.0774078, Acceleration: ['-0.06', '-0.17', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.0870402, Acceleration: ['-0.05', '-0.26', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.0973053, Acceleration: ['-0.04', '-0.11', ' 9.90'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.108402, Acceleration: ['-0.10', '-0.11', ' 9.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.1176105, Acceleration: ['-0.08', '-0.22', ' 9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.1269343, Acceleration: ['-0.06', '-0.24', ' 9.75'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.1372075, Acceleration: ['-0.06', '-0.18', ' 9.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
Timestamp: 1648004850.147153, Acceleration: ['-0.07', '-0.22', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', '-0.03', ' 0.00'] 
