Timestamp: 1656014046.5419943, Acceleration: [' 0.36', '-0.48', ' 7.23'], Velocity: [' 0.43', '-0.21', '-0.71'], Position: [' 0.19', '-0.15', '-0.24'] 
Timestamp: 1656014046.5521436, Acceleration: [' 0.18', '-0.62', ' 7.49'], Velocity: [' 0.43', '-0.22', '-0.73'], Position: [' 0.19', '-0.15', '-0.25'] 
Timestamp: 1656014046.5620718, Acceleration: ['-0.32', '-0.26', ' 8.52'], Velocity: [' 0.43', '-0.22', '-0.74'], Position: [' 0.20', '-0.15', '-0.25'] 
Timestamp: 1656014046.5719965, Acceleration: [' 0.17', '-0.31', ' 8.94'], Velocity: [' 0.43', '-0.22', '-0.75'], Position: [' 0.20', '-0.15', '-0.26'] 
Timestamp: 1656014046.5833714, Acceleration: [' 0.73', '-0.36', ' 9.50'], Velocity: [' 0.44', '-0.23', '-0.76'], Position: [' 0.21', '-0.16', '-0.27'] 
Timestamp: 1656014046.5919871, Acceleration: [' 0.63', '-0.25', ' 8.75'], Velocity: [' 0.44', '-0.23', '-0.77'], Position: [' 0.21', '-0.16', '-0.28'] 
Timestamp: 1656014046.601897, Acceleration: [' 0.81', '-0.15', ' 9.18'], Velocity: [' 0.45', '-0.23', '-0.77'], Position: [' 0.21', '-0.16', '-0.28'] 
Timestamp: 1656014046.6123252, Acceleration: [' 0.62', '-0.17', ' 8.09'], Velocity: [' 0.46', '-0.23', '-0.79'], Position: [' 0.22', '-0.16', '-0.29'] 
Timestamp: 1656014046.6216805, Acceleration: [' 0.86', '-0.27', ' 8.55'], Velocity: [' 0.47', '-0.24', '-0.80'], Position: [' 0.22', '-0.17', '-0.30'] 
Timestamp: 1656014046.6319036, Acceleration: [' 0.12', '-0.52', ' 7.06'], Velocity: [' 0.47', '-0.24', '-0.83'], Position: [' 0.23', '-0.17', '-0.31'] 
Timestamp: 1656014046.6431155, Acceleration: ['-0.48', '-0.53', ' 8.03'], Velocity: [' 0.46', '-0.25', '-0.85'], Position: [' 0.23', '-0.17', '-0.32'] 
Timestamp: 1656014046.652047, Acceleration: ['-0.48', '-0.36', ' 8.07'], Velocity: [' 0.46', '-0.25', '-0.87'], Position: [' 0.24', '-0.17', '-0.33'] 
Timestamp: 1656014046.6619213, Acceleration: [' 0.24', '-0.21', ' 9.93'], Velocity: [' 0.46', '-0.25', '-0.86'], Position: [' 0.24', '-0.18', '-0.33'] 
Timestamp: 1656014046.672106, Acceleration: [' 0.11', '-0.15', ' 9.23'], Velocity: [' 0.46', '-0.25', '-0.87'], Position: [' 0.25', '-0.18', '-0.34'] 
Timestamp: 1656014046.6829698, Acceleration: [' 0.56', '-0.24', ' 7.93'], Velocity: [' 0.47', '-0.26', '-0.89'], Position: [' 0.25', '-0.18', '-0.35'] 
Timestamp: 1656014046.6919222, Acceleration: [' 0.55', '-0.29', ' 7.92'], Velocity: [' 0.47', '-0.26', '-0.91'], Position: [' 0.26', '-0.18', '-0.36'] 
Timestamp: 1656014046.701859, Acceleration: [' 0.93', '-0.26', ' 8.20'], Velocity: [' 0.48', '-0.26', '-0.92'], Position: [' 0.26', '-0.19', '-0.37'] 
Timestamp: 1656014046.7141678, Acceleration: [' 0.20', '-0.27', ' 8.27'], Velocity: [' 0.49', '-0.26', '-0.94'], Position: [' 0.27', '-0.19', '-0.38'] 
Timestamp: 1656014046.721861, Acceleration: [' 0.37', '-0.36', ' 8.21'], Velocity: [' 0.49', '-0.27', '-0.95'], Position: [' 0.27', '-0.19', '-0.39'] 
Timestamp: 1656014046.7318926, Acceleration: ['-0.25', '-0.44', ' 8.17'], Velocity: [' 0.49', '-0.27', '-0.97'], Position: [' 0.28', '-0.19', '-0.40'] 
Timestamp: 1656014046.7421768, Acceleration: [' 0.23', '-0.47', ' 8.61'], Velocity: [' 0.49', '-0.28', '-0.98'], Position: [' 0.28', '-0.20', '-0.41'] 
Timestamp: 1656014046.751886, Acceleration: ['-0.05', '-0.12', ' 9.11'], Velocity: [' 0.49', '-0.28', '-0.99'], Position: [' 0.29', '-0.20', '-0.42'] 
Timestamp: 1656014046.761923, Acceleration: [' 0.54', ' 0.06', ' 9.44'], Velocity: [' 0.49', '-0.28', '-0.99'], Position: [' 0.29', '-0.20', '-0.43'] 
Timestamp: 1656014046.7721813, Acceleration: [' 0.82', ' 0.06', ' 9.30'], Velocity: [' 0.50', '-0.28', '-1.00'], Position: [' 0.30', '-0.21', '-0.44'] 
Timestamp: 1656014046.7818909, Acceleration: [' 0.94', '-0.25', ' 7.94'], Velocity: [' 0.51', '-0.28', '-1.02'], Position: [' 0.30', '-0.21', '-0.45'] 
Timestamp: 1656014046.7947564, Acceleration: [' 0.68', '-0.38', ' 8.30'], Velocity: [' 0.52', '-0.28', '-1.04'], Position: [' 0.31', '-0.21', '-0.46'] 
Timestamp: 1656014046.8019783, Acceleration: ['-0.11', '-0.61', ' 7.12'], Velocity: [' 0.52', '-0.29', '-1.06'], Position: [' 0.31', '-0.21', '-0.47'] 
Timestamp: 1656014046.8125348, Acceleration: ['-0.24', '-0.23', ' 8.56'], Velocity: [' 0.52', '-0.29', '-1.07'], Position: [' 0.32', '-0.22', '-0.48'] 
Timestamp: 1656014046.8218944, Acceleration: ['-0.58', '-0.27', ' 8.55'], Velocity: [' 0.51', '-0.29', '-1.08'], Position: [' 0.32', '-0.22', '-0.49'] 
Timestamp: 1656014046.832077, Acceleration: [' 0.22', '-0.23', ' 9.72'], Velocity: [' 0.51', '-0.30', '-1.08'], Position: [' 0.33', '-0.22', '-0.50'] 
Timestamp: 1656014046.8426023, Acceleration: [' 0.21', '-0.37', ' 8.70'], Velocity: [' 0.51', '-0.30', '-1.09'], Position: [' 0.33', '-0.23', '-0.52'] 
Timestamp: 1656014046.8518436, Acceleration: [' 0.76', '-0.16', ' 9.46'], Velocity: [' 0.52', '-0.30', '-1.10'], Position: [' 0.34', '-0.23', '-0.53'] 
Timestamp: 1656014046.8620288, Acceleration: [' 0.12', '-0.02', ' 8.15'], Velocity: [' 0.52', '-0.30', '-1.11'], Position: [' 0.34', '-0.23', '-0.54'] 
Timestamp: 1656014046.8721828, Acceleration: [' 0.92', '-0.20', ' 8.61'], Velocity: [' 0.53', '-0.30', '-1.13'], Position: [' 0.35', '-0.23', '-0.55'] 
Timestamp: 1656014046.8818913, Acceleration: ['-0.03', '-0.40', ' 7.32'], Velocity: [' 0.53', '-0.31', '-1.15'], Position: [' 0.35', '-0.24', '-0.56'] 
Timestamp: 1656014046.8918986, Acceleration: [' 0.22', '-0.41', ' 7.84'], Velocity: [' 0.53', '-0.31', '-1.17'], Position: [' 0.36', '-0.24', '-0.57'] 
Timestamp: 1656014046.902286, Acceleration: ['-0.66', '-0.41', ' 7.71'], Velocity: [' 0.53', '-0.32', '-1.19'], Position: [' 0.36', '-0.24', '-0.58'] 
Timestamp: 1656014046.9119737, Acceleration: ['-0.34', '-0.27', ' 9.63'], Velocity: [' 0.52', '-0.32', '-1.19'], Position: [' 0.37', '-0.25', '-0.60'] 
Timestamp: 1656014046.9220624, Acceleration: [' 0.68', '-0.05', ' 9.72'], Velocity: [' 0.53', '-0.32', '-1.19'], Position: [' 0.37', '-0.25', '-0.61'] 
Timestamp: 1656014046.932097, Acceleration: [' 0.66', '-0.09', ' 9.67'], Velocity: [' 0.54', '-0.32', '-1.20'], Position: [' 0.38', '-0.25', '-0.62'] 
Timestamp: 1656014046.942093, Acceleration: [' 0.87', ' 0.02', ' 8.55'], Velocity: [' 0.55', '-0.32', '-1.21'], Position: [' 0.39', '-0.26', '-0.63'] 
Timestamp: 1656014046.951902, Acceleration: [' 0.22', '-0.24', ' 7.95'], Velocity: [' 0.55', '-0.32', '-1.23'], Position: [' 0.39', '-0.26', '-0.64'] 
Timestamp: 1656014046.9619412, Acceleration: ['-0.13', '-0.18', ' 8.18'], Velocity: [' 0.55', '-0.32', '-1.24'], Position: [' 0.40', '-0.26', '-0.66'] 
Timestamp: 1656014046.9743423, Acceleration: ['-0.36', '-0.33', ' 9.21'], Velocity: [' 0.54', '-0.33', '-1.25'], Position: [' 0.40', '-0.27', '-0.67'] 
Timestamp: 1656014046.982889, Acceleration: [' 0.03', '-0.30', ' 8.10'], Velocity: [' 0.54', '-0.33', '-1.27'], Position: [' 0.41', '-0.27', '-0.68'] 
Timestamp: 1656014046.9918303, Acceleration: ['-0.06', '-0.29', ' 8.04'], Velocity: [' 0.54', '-0.33', '-1.28'], Position: [' 0.41', '-0.27', '-0.69'] 
Timestamp: 1656014047.0021987, Acceleration: ['-0.25', '-0.24', ' 9.39'], Velocity: [' 0.54', '-0.33', '-1.29'], Position: [' 0.42', '-0.28', '-0.71'] 
Timestamp: 1656014047.0117996, Acceleration: [' 0.47', '-0.03', ' 9.01'], Velocity: [' 0.54', '-0.34', '-1.29'], Position: [' 0.42', '-0.28', '-0.72'] 
Timestamp: 1656014047.0216508, Acceleration: [' 0.34', ' 0.03', ' 9.68'], Velocity: [' 0.55', '-0.33', '-1.29'], Position: [' 0.43', '-0.28', '-0.73'] 
Timestamp: 1656014047.031912, Acceleration: [' 0.71', '-0.19', ' 8.03'], Velocity: [' 0.56', '-0.34', '-1.31'], Position: [' 0.43', '-0.29', '-0.75'] 
Timestamp: 1656014047.0420616, Acceleration: ['-0.38', '-0.58', ' 6.84'], Velocity: [' 0.55', '-0.34', '-1.34'], Position: [' 0.44', '-0.29', '-0.76'] 
Timestamp: 1656014047.0518234, Acceleration: ['-0.21', '-0.41', ' 6.88'], Velocity: [' 0.55', '-0.35', '-1.37'], Position: [' 0.45', '-0.29', '-0.77'] 
Timestamp: 1656014047.0621054, Acceleration: ['-1.09', '-0.26', ' 8.17'], Velocity: [' 0.54', '-0.35', '-1.39'], Position: [' 0.45', '-0.30', '-0.79'] 
Timestamp: 1656014047.0718327, Acceleration: ['-0.23', '-0.15', ' 9.65'], Velocity: [' 0.54', '-0.35', '-1.39'], Position: [' 0.46', '-0.30', '-0.80'] 
Timestamp: 1656014047.0819283, Acceleration: ['-0.37', '-0.16', ' 9.17'], Velocity: [' 0.53', '-0.35', '-1.40'], Position: [' 0.46', '-0.30', '-0.82'] 
Timestamp: 1656014047.0930324, Acceleration: [' 0.26', '-0.05', ' 8.81'], Velocity: [' 0.53', '-0.35', '-1.41'], Position: [' 0.47', '-0.31', '-0.83'] 
Timestamp: 1656014047.1021683, Acceleration: [' 0.12', ' 0.02', ' 8.80'], Velocity: [' 0.54', '-0.35', '-1.42'], Position: [' 0.47', '-0.31', '-0.84'] 
Timestamp: 1656014047.1119578, Acceleration: [' 0.48', '-0.07', ' 8.27'], Velocity: [' 0.54', '-0.35', '-1.43'], Position: [' 0.48', '-0.32', '-0.86'] 
Timestamp: 1656014047.1220994, Acceleration: [' 0.06', '-0.17', ' 8.04'], Velocity: [' 0.54', '-0.36', '-1.45'], Position: [' 0.48', '-0.32', '-0.87'] 
Timestamp: 1656014047.1321735, Acceleration: ['-0.08', '-0.47', ' 7.32'], Velocity: [' 0.54', '-0.36', '-1.47'], Position: [' 0.49', '-0.32', '-0.89'] 
Timestamp: 1656014047.1419597, Acceleration: ['-0.51', '-0.43', ' 7.92'], Velocity: [' 0.54', '-0.36', '-1.49'], Position: [' 0.49', '-0.33', '-0.90'] 
Timestamp: 1656014047.1529582, Acceleration: ['-0.84', '-0.35', ' 8.19'], Velocity: [' 0.53', '-0.37', '-1.51'], Position: [' 0.50', '-0.33', '-0.92'] 
Timestamp: 1656014047.1620705, Acceleration: ['-0.60', ' 0.01', '10.04'], Velocity: [' 0.52', '-0.37', '-1.51'], Position: [' 0.50', '-0.33', '-0.93'] 
Timestamp: 1656014047.1717978, Acceleration: ['-0.28', '-0.02', ' 9.32'], Velocity: [' 0.52', '-0.37', '-1.51'], Position: [' 0.51', '-0.34', '-0.95'] 
Timestamp: 1656014047.1817641, Acceleration: [' 0.64', ' 0.04', ' 9.67'], Velocity: [' 0.52', '-0.37', '-1.52'], Position: [' 0.51', '-0.34', '-0.96'] 
Timestamp: 1656014047.1922755, Acceleration: [' 0.19', '-0.13', ' 7.69'], Velocity: [' 0.53', '-0.37', '-1.54'], Position: [' 0.52', '-0.34', '-0.98'] 
Timestamp: 1656014047.2028124, Acceleration: [' 0.46', '-0.18', ' 8.23'], Velocity: [' 0.53', '-0.37', '-1.55'], Position: [' 0.53', '-0.35', '-1.00'] 
Timestamp: 1656014047.2118373, Acceleration: ['-0.53', '-0.29', ' 7.32'], Velocity: [' 0.53', '-0.37', '-1.58'], Position: [' 0.53', '-0.35', '-1.01'] 
Timestamp: 1656014047.2219174, Acceleration: ['-0.21', '-0.36', ' 8.44'], Velocity: [' 0.52', '-0.38', '-1.59'], Position: [' 0.54', '-0.36', '-1.03'] 
Timestamp: 1656014047.231882, Acceleration: ['-0.99', '-0.34', ' 7.84'], Velocity: [' 0.51', '-0.38', '-1.61'], Position: [' 0.54', '-0.36', '-1.04'] 
Timestamp: 1656014047.2417893, Acceleration: ['-0.29', '-0.34', ' 9.18'], Velocity: [' 0.51', '-0.38', '-1.62'], Position: [' 0.55', '-0.36', '-1.06'] 
Timestamp: 1656014047.2519877, Acceleration: ['-0.95', '-0.10', ' 9.16'], Velocity: [' 0.50', '-0.38', '-1.62'], Position: [' 0.55', '-0.37', '-1.08'] 
Timestamp: 1656014047.2619934, Acceleration: [' 0.03', ' 0.04', ' 9.97'], Velocity: [' 0.50', '-0.38', '-1.62'], Position: [' 0.56', '-0.37', '-1.09'] 
