Timestamp: 1656014653.7632592, Acceleration: ['-2.11', ' 0.68', '11.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.773316, Acceleration: ['-1.90', ' 0.73', ' 9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.783337, Acceleration: ['-1.14', ' 0.34', '10.04'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.793403, Acceleration: ['-1.78', ' 0.19', ' 8.35'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.8032308, Acceleration: ['-2.95', ' 0.01', ' 8.97'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.8133526, Acceleration: ['-2.76', ' 0.25', ' 9.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.823461, Acceleration: ['-2.42', ' 0.61', '10.06'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.8333666, Acceleration: ['-2.38', ' 0.51', '11.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.8433259, Acceleration: ['-1.37', ' 0.56', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.8536325, Acceleration: ['-1.80', ' 0.45', ' 9.44'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.8632383, Acceleration: ['-1.17', ' 0.53', ' 9.76'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.8741407, Acceleration: ['-1.73', ' 0.33', ' 9.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.8833022, Acceleration: ['-1.55', ' 0.11', ' 8.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.893517, Acceleration: ['-2.69', '-0.00', ' 9.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.9032044, Acceleration: ['-2.53', ' 0.14', ' 9.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.13', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.917319, Acceleration: ['-2.22', ' 0.45', ' 9.05'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.9242077, Acceleration: ['-1.25', ' 0.73', '10.59'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
Timestamp: 1656014653.9333386, Acceleration: ['-1.28', ' 0.63', '11.06'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.14', ' 0.14', ' 0.02'] 
