Timestamp: 1656015027.0554976, Acceleration: [' 0.44', ' 0.26', ' 8.64'], Velocity: [' 0.04', ' 0.03', '-0.12'], Position: [' 0.21', ' 0.24', '-1.23'] 
Timestamp: 1656015027.1555061, Acceleration: [' 0.05', ' 0.34', ' 8.68'], Velocity: [' 0.05', ' 0.06', '-0.23'], Position: [' 0.21', ' 0.24', '-1.26'] 
Timestamp: 1656015027.2555013, Acceleration: [' 0.60', ' 0.25', ' 9.57'], Velocity: [' 0.11', ' 0.08', '-0.25'], Position: [' 0.23', ' 0.25', '-1.29'] 
Timestamp: 1656015027.3555028, Acceleration: [' 0.16', ' 0.18', ' 8.65'], Velocity: [' 0.12', ' 0.10', '-0.37'], Position: [' 0.24', ' 0.26', '-1.33'] 
Timestamp: 1656015027.455499, Acceleration: ['-0.13', ' 0.14', ' 9.03'], Velocity: [' 0.11', ' 0.12', '-0.45'], Position: [' 0.25', ' 0.28', '-1.38'] 
Timestamp: 1656015027.5556571, Acceleration: ['-0.03', ' 0.28', ' 9.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.26', ' 0.29', '-1.43'] 
Timestamp: 1656015027.655508, Acceleration: [' 0.45', ' 0.31', ' 9.52'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.27', ' 0.30', '-1.43'] 
Timestamp: 1656015027.7555683, Acceleration: [' 0.02', ' 0.24', ' 8.61'], Velocity: [' 0.00', ' 0.02', '-0.12'], Position: [' 0.27', ' 0.30', '-1.45'] 
Timestamp: 1656015027.8555455, Acceleration: [' 0.49', ' 0.27', ' 9.64'], Velocity: [' 0.05', ' 0.05', '-0.14'], Position: [' 0.28', ' 0.31', '-1.47'] 
Timestamp: 1656015027.9555454, Acceleration: [' 0.22', ' 0.29', ' 8.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.29', ' 0.32', '-1.50'] 
Timestamp: 1656015028.0555048, Acceleration: [' 0.15', ' 0.11', ' 9.19'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.29', ' 0.32', '-1.50'] 
Timestamp: 1656015028.1555145, Acceleration: ['-0.04', ' 0.30', ' 9.18'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.29', ' 0.32', '-1.51'] 
Timestamp: 1656015028.2555063, Acceleration: [' 0.47', ' 0.26', ' 9.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.29', ' 0.33', '-1.52'] 
Timestamp: 1656015028.355492, Acceleration: [' 0.15', ' 0.26', ' 8.75'], Velocity: [' 0.02', ' 0.03', '-0.11'], Position: [' 0.30', ' 0.33', '-1.53'] 
Timestamp: 1656015028.4554894, Acceleration: [' 0.59', ' 0.20', ' 9.63'], Velocity: [' 0.07', ' 0.05', '-0.12'], Position: [' 0.31', ' 0.34', '-1.55'] 
Timestamp: 1656015028.5554962, Acceleration: [' 0.38', ' 0.10', ' 8.69'], Velocity: [' 0.11', ' 0.06', '-0.24'], Position: [' 0.32', ' 0.34', '-1.58'] 
Timestamp: 1656015028.6557412, Acceleration: [' 0.20', ' 0.16', ' 8.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.33', ' 0.35', '-1.62'] 
Timestamp: 1656015028.755533, Acceleration: ['-0.18', ' 0.17', ' 9.00'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.33', ' 0.35', '-1.63'] 
