Timestamp: 1656016736.0889277, Acceleration: [' 1.44', ' 0.60', '-9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.0991118, Acceleration: [' 1.19', ' 0.67', '-9.25'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.108873, Acceleration: [' 1.22', ' 0.52', '-9.26'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.119025, Acceleration: [' 0.98', ' 0.49', '-9.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.1288831, Acceleration: [' 1.06', ' 0.44', '-9.39'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.1388571, Acceleration: [' 1.02', ' 0.60', '-9.98'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.1490943, Acceleration: [' 1.34', ' 0.64', '-10.01'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.1590753, Acceleration: [' 1.08', ' 0.60', '-9.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.169017, Acceleration: [' 1.30', ' 0.50', '-9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.1790695, Acceleration: [' 1.04', ' 0.69', '-9.30'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.1888928, Acceleration: [' 1.31', ' 0.65', '-9.92'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.1989095, Acceleration: [' 0.94', ' 0.45', '-9.17'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.2102027, Acceleration: [' 1.12', ' 0.37', '-9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.2191322, Acceleration: [' 0.80', ' 0.47', '-9.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656016736.2290244, Acceleration: [' 1.24', ' 0.41', '-10.17'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
