Timestamp: 1647980695.921948, Acceleration: ['-0.37', ' 0.02', ' 9.82'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.9319286, Acceleration: ['-0.35', ' 0.05', ' 9.94'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.9419281, Acceleration: ['-0.32', ' 0.05', ' 9.95'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.9518206, Acceleration: ['-0.30', '-0.01', ' 9.99'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.9619148, Acceleration: ['-0.29', ' 0.11', ' 9.90'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.972094, Acceleration: ['-0.29', ' 0.01', ' 9.80'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.9818692, Acceleration: ['-0.32', ' 0.02', ' 9.81'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980695.991888, Acceleration: ['-0.26', '-0.03', '10.02'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.0020075, Acceleration: ['-0.24', ' 0.08', '10.01'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.0118282, Acceleration: ['-0.32', '-0.14', ' 9.77'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.0218663, Acceleration: ['-0.25', ' 0.08', ' 9.86'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.032358, Acceleration: ['-0.22', ' 0.05', '10.24'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.0418205, Acceleration: ['-0.16', ' 0.24', '10.22'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.0521443, Acceleration: ['-0.41', '-0.00', '10.12'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.062012, Acceleration: ['-0.27', '-0.01', ' 9.82'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.0721276, Acceleration: ['-0.12', ' 0.01', ' 9.81'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.090049, Acceleration: ['-0.22', ' 0.01', ' 9.78'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.0964918, Acceleration: ['-0.25', '-0.02', ' 9.83'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.1030128, Acceleration: ['-0.12', '-0.01', ' 9.99'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.03', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.1119266, Acceleration: ['-0.24', '-0.11', ' 9.83'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.1219275, Acceleration: ['-0.39', '-0.00', ' 9.73'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.1329887, Acceleration: ['-0.39', '-0.00', ' 9.82'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.1418364, Acceleration: ['-0.26', ' 0.06', ' 9.84'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.1521528, Acceleration: ['-0.24', ' 0.07', ' 9.79'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.1619081, Acceleration: ['-0.25', '-0.02', ' 9.76'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.172119, Acceleration: ['-0.20', '-0.03', ' 9.88'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.1828213, Acceleration: ['-0.24', ' 0.03', ' 9.88'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.1923277, Acceleration: ['-0.27', ' 0.06', ' 9.93'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.2018847, Acceleration: ['-0.19', '-0.02', ' 9.79'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.2123451, Acceleration: ['-0.26', '-0.01', ' 9.77'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.2219882, Acceleration: ['-0.31', ' 0.07', ' 9.86'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.2330952, Acceleration: ['-0.19', ' 0.03', ' 9.74'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.2419164, Acceleration: ['-0.37', ' 0.04', ' 9.88'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.252178, Acceleration: ['-0.20', '-0.01', ' 9.77'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.261843, Acceleration: ['-0.15', '-0.01', ' 9.81'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.272149, Acceleration: ['-0.08', '-0.00', ' 9.87'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.2829275, Acceleration: ['-0.35', ' 0.04', ' 9.88'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.2921042, Acceleration: ['-0.26', ' 0.02', ' 9.86'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.313719, Acceleration: ['-0.14', '-0.04', ' 9.80'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.3200026, Acceleration: ['-0.33', ' 0.02', ' 9.83'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.3262644, Acceleration: ['-0.20', ' 0.01', ' 9.95'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.3324528, Acceleration: ['-0.25', '-0.01', ' 9.74'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.3418949, Acceleration: ['-0.20', '-0.02', ' 9.74'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.3519351, Acceleration: ['-0.17', '-0.02', ' 9.87'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.3619866, Acceleration: ['-0.14', '-0.04', ' 9.80'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.3718953, Acceleration: ['-0.14', ' 0.01', ' 9.86'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.3825715, Acceleration: ['-0.30', '-0.01', ' 9.87'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.3918195, Acceleration: ['-0.15', '-0.03', ' 9.94'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.4018962, Acceleration: ['-0.20', '-0.00', ' 9.83'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.4119709, Acceleration: ['-0.14', '-0.01', ' 9.85'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
Timestamp: 1647980696.4218655, Acceleration: ['-0.18', '-0.04', ' 9.91'], Velocity: ['-0.00', '-0.00', ' 0.00'], Position: ['-0.04', ' 0.00', ' 0.00'] 
