Timestamp: 1656014515.4399378, Acceleration: ['-0.26', '-0.89', '-10.49'], Velocity: [' 0.14', '-0.17', '-3.70'], Position: [' 0.13', '-0.02', '-1.88'] 
Timestamp: 1656014515.4521213, Acceleration: [' 0.25', '-0.63', '-8.71'], Velocity: [' 0.14', '-0.18', '-3.93'], Position: [' 0.14', '-0.03', '-1.93'] 
Timestamp: 1656014515.4606714, Acceleration: ['-0.10', '-0.49', '-8.85'], Velocity: [' 0.14', '-0.18', '-4.09'], Position: [' 0.14', '-0.03', '-1.97'] 
Timestamp: 1656014515.4698591, Acceleration: [' 0.78', '-0.59', '-8.53'], Velocity: [' 0.15', '-0.19', '-4.26'], Position: [' 0.14', '-0.03', '-2.01'] 
Timestamp: 1656014515.4803078, Acceleration: [' 1.15', '-0.49', '-8.64'], Velocity: [' 0.16', '-0.19', '-4.45'], Position: [' 0.14', '-0.03', '-2.05'] 
Timestamp: 1656014515.4904203, Acceleration: [' 1.20', '-1.13', '-10.49'], Velocity: [' 0.17', '-0.21', '-4.65'], Position: [' 0.14', '-0.03', '-2.10'] 
Timestamp: 1656014515.5005944, Acceleration: [' 1.18', '-1.16', '-10.16'], Velocity: [' 0.19', '-0.22', '-4.86'], Position: [' 0.14', '-0.04', '-2.15'] 
Timestamp: 1656014515.5100183, Acceleration: [' 0.17', '-1.04', '-11.08'], Velocity: [' 0.19', '-0.23', '-5.05'], Position: [' 0.15', '-0.04', '-2.20'] 
Timestamp: 1656014515.5238335, Acceleration: [' 0.15', '-0.57', '-8.99'], Velocity: [' 0.19', '-0.24', '-5.31'], Position: [' 0.15', '-0.04', '-2.28'] 
Timestamp: 1656014515.5307193, Acceleration: [' 0.35', '-0.78', '-8.89'], Velocity: [' 0.19', '-0.24', '-5.44'], Position: [' 0.15', '-0.04', '-2.31'] 
Timestamp: 1656014515.5414069, Acceleration: [' 0.29', '-0.61', '-9.35'], Velocity: [' 0.20', '-0.25', '-5.65'], Position: [' 0.15', '-0.05', '-2.37'] 
Timestamp: 1656014515.5504408, Acceleration: [' 0.08', '-0.66', '-9.31'], Velocity: [' 0.20', '-0.25', '-5.82'], Position: [' 0.15', '-0.05', '-2.43'] 
Timestamp: 1656014515.559957, Acceleration: [' 0.76', '-0.72', '-9.06'], Velocity: [' 0.20', '-0.26', '-6.00'], Position: [' 0.15', '-0.05', '-2.49'] 
Timestamp: 1656014515.570101, Acceleration: [' 0.99', '-0.53', '-8.53'], Velocity: [' 0.21', '-0.27', '-6.19'], Position: [' 0.16', '-0.05', '-2.55'] 
Timestamp: 1656014515.5799186, Acceleration: [' 1.21', '-0.81', '-10.14'], Velocity: [' 0.23', '-0.27', '-6.38'], Position: [' 0.16', '-0.06', '-2.61'] 
Timestamp: 1656014515.5909173, Acceleration: [' 1.38', '-1.26', '-11.56'], Velocity: [' 0.24', '-0.29', '-6.62'], Position: [' 0.16', '-0.06', '-2.69'] 
Timestamp: 1656014515.5999713, Acceleration: [' 0.34', '-1.21', '-11.38'], Velocity: [' 0.24', '-0.30', '-6.81'], Position: [' 0.16', '-0.06', '-2.75'] 
