Timestamp: 1656015171.0816483, Acceleration: [' 0.37', ' 0.52', '-10.32'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.62'] 
Timestamp: 1656015171.0929835, Acceleration: [' 0.57', ' 0.51', '-9.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.62'] 
Timestamp: 1656015171.1006641, Acceleration: [' 0.76', ' 0.55', '-10.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.62'] 
Timestamp: 1656015171.1106145, Acceleration: [' 0.54', ' 0.42', '-9.69'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.62'] 
Timestamp: 1656015171.1205065, Acceleration: [' 0.96', ' 0.34', '-10.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.63'] 
Timestamp: 1656015171.1305642, Acceleration: [' 0.47', ' 0.42', '-9.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.63'] 
Timestamp: 1656015171.1406498, Acceleration: [' 1.00', ' 0.36', '-10.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.63'] 
Timestamp: 1656015171.1505346, Acceleration: [' 0.31', ' 0.47', '-9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.03', ' 0.01', '-1.64'] 
Timestamp: 1656015171.16071, Acceleration: [' 0.80', ' 0.22', '-10.40'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.64'] 
Timestamp: 1656015171.170572, Acceleration: [' 0.26', ' 0.35', '-9.96'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.64'] 
Timestamp: 1656015171.1806397, Acceleration: [' 0.76', ' 0.37', '-10.15'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.64'] 
Timestamp: 1656015171.1905534, Acceleration: [' 0.62', ' 0.51', '-10.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.65'] 
Timestamp: 1656015171.2006304, Acceleration: [' 0.69', ' 0.52', '-9.83'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.65'] 
Timestamp: 1656015171.2108073, Acceleration: [' 0.85', ' 0.36', '-10.60'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.65'] 
Timestamp: 1656015171.22061, Acceleration: [' 0.44', ' 0.31', '-9.42'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.66'] 
Timestamp: 1656015171.2305744, Acceleration: [' 0.83', ' 0.24', '-10.62'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.66'] 
Timestamp: 1656015171.241057, Acceleration: [' 0.31', ' 0.50', '-9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.66'] 
Timestamp: 1656015171.2506464, Acceleration: [' 0.72', ' 0.37', '-10.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.02', ' 0.01', '-1.67'] 
