Timestamp: 1656014461.4123027, Acceleration: [' 0.70', '-1.09', '25.43'], Velocity: [' 0.42', '-0.56', '11.68'], Position: [' 0.17', '-0.26', ' 5.20'] 
Timestamp: 1656014461.4230373, Acceleration: [' 0.51', '-1.14', '26.72'], Velocity: [' 0.43', '-0.57', '11.86'], Position: [' 0.18', '-0.27', ' 5.33'] 
Timestamp: 1656014461.4349833, Acceleration: [' 0.53', '-0.87', '26.52'], Velocity: [' 0.43', '-0.58', '12.06'], Position: [' 0.18', '-0.28', ' 5.47'] 
Timestamp: 1656014461.4423149, Acceleration: [' 0.49', '-0.16', '27.63'], Velocity: [' 0.44', '-0.58', '12.19'], Position: [' 0.19', '-0.28', ' 5.56'] 
Timestamp: 1656014461.4522653, Acceleration: [' 0.43', '-0.10', '25.83'], Velocity: [' 0.44', '-0.58', '12.35'], Position: [' 0.19', '-0.29', ' 5.69'] 
Timestamp: 1656014461.462573, Acceleration: [' 0.56', ' 0.49', '26.80'], Velocity: [' 0.45', '-0.58', '12.53'], Position: [' 0.20', '-0.29', ' 5.82'] 
Timestamp: 1656014461.4723852, Acceleration: [' 0.46', '-0.05', '25.54'], Velocity: [' 0.45', '-0.58', '12.68'], Position: [' 0.20', '-0.30', ' 5.94'] 
Timestamp: 1656014461.4822927, Acceleration: [' 0.72', '-0.84', '26.14'], Velocity: [' 0.46', '-0.59', '12.84'], Position: [' 0.20', '-0.31', ' 6.07'] 
Timestamp: 1656014461.4928336, Acceleration: [' 0.70', '-0.79', '25.35'], Velocity: [' 0.47', '-0.59', '13.01'], Position: [' 0.21', '-0.31', ' 6.21'] 
Timestamp: 1656014461.502337, Acceleration: [' 0.90', '-0.90', '25.16'], Velocity: [' 0.47', '-0.60', '13.15'], Position: [' 0.21', '-0.32', ' 6.33'] 
Timestamp: 1656014461.5122993, Acceleration: [' 0.53', '-1.36', '26.69'], Velocity: [' 0.48', '-0.62', '13.32'], Position: [' 0.22', '-0.32', ' 6.47'] 
Timestamp: 1656014461.5225644, Acceleration: [' 0.47', '-1.14', '26.55'], Velocity: [' 0.48', '-0.63', '13.49'], Position: [' 0.22', '-0.33', ' 6.61'] 
Timestamp: 1656014461.5327199, Acceleration: [' 0.24', '-0.12', '26.28'], Velocity: [' 0.49', '-0.63', '13.66'], Position: [' 0.23', '-0.34', ' 6.75'] 
Timestamp: 1656014461.542405, Acceleration: [' 0.50', ' 0.87', '26.03'], Velocity: [' 0.49', '-0.62', '13.82'], Position: [' 0.23', '-0.34', ' 6.88'] 
Timestamp: 1656014461.5521536, Acceleration: [' 0.51', '-0.24', '26.58'], Velocity: [' 0.50', '-0.62', '13.98'], Position: [' 0.24', '-0.35', ' 7.02'] 
Timestamp: 1656014461.5628812, Acceleration: [' 0.69', '-0.04', '25.72'], Velocity: [' 0.50', '-0.62', '14.15'], Position: [' 0.24', '-0.36', ' 7.17'] 
Timestamp: 1656014461.572283, Acceleration: [' 0.54', '-0.91', '25.91'], Velocity: [' 0.51', '-0.63', '14.30'], Position: [' 0.25', '-0.36', ' 7.31'] 
Timestamp: 1656014461.5823226, Acceleration: [' 0.65', '-0.77', '25.82'], Velocity: [' 0.52', '-0.64', '14.47'], Position: [' 0.25', '-0.37', ' 7.45'] 
Timestamp: 1656014461.5932715, Acceleration: [' 0.51', '-0.87', '26.59'], Velocity: [' 0.52', '-0.65', '14.65'], Position: [' 0.26', '-0.38', ' 7.61'] 
Timestamp: 1656014461.6023483, Acceleration: [' 0.59', '-0.88', '26.03'], Velocity: [' 0.53', '-0.66', '14.80'], Position: [' 0.26', '-0.38', ' 7.75'] 
Timestamp: 1656014461.6121652, Acceleration: [' 0.27', '-0.25', '26.29'], Velocity: [' 0.53', '-0.66', '14.96'], Position: [' 0.27', '-0.39', ' 7.90'] 
Timestamp: 1656014461.6227372, Acceleration: [' 0.19', '-0.13', '26.58'], Velocity: [' 0.53', '-0.66', '15.14'], Position: [' 0.28', '-0.39', ' 8.06'] 
Timestamp: 1656014461.6324623, Acceleration: [' 0.41', ' 0.86', '26.99'], Velocity: [' 0.54', '-0.65', '15.30'], Position: [' 0.28', '-0.40', ' 8.21'] 
Timestamp: 1656014461.6422498, Acceleration: [' 0.47', ' 0.08', '25.14'], Velocity: [' 0.54', '-0.65', '15.45'], Position: [' 0.29', '-0.41', ' 8.36'] 
Timestamp: 1656014461.652388, Acceleration: [' 0.71', ' 0.18', '24.92'], Velocity: [' 0.55', '-0.65', '15.61'], Position: [' 0.29', '-0.41', ' 8.52'] 
Timestamp: 1656014461.6625774, Acceleration: [' 0.64', '-0.95', '25.47'], Velocity: [' 0.55', '-0.66', '15.77'], Position: [' 0.30', '-0.42', ' 8.68'] 
Timestamp: 1656014461.6725519, Acceleration: [' 0.52', '-0.86', '25.89'], Velocity: [' 0.56', '-0.67', '15.93'], Position: [' 0.30', '-0.43', ' 8.84'] 
Timestamp: 1656014461.6823232, Acceleration: [' 0.41', '-0.81', '26.93'], Velocity: [' 0.56', '-0.68', '16.09'], Position: [' 0.31', '-0.43', ' 9.00'] 
Timestamp: 1656014461.6928203, Acceleration: [' 0.43', '-0.49', '25.97'], Velocity: [' 0.57', '-0.68', '16.26'], Position: [' 0.31', '-0.44', ' 9.17'] 
Timestamp: 1656014461.7022848, Acceleration: [' 0.43', '-0.01', '27.28'], Velocity: [' 0.57', '-0.68', '16.43'], Position: [' 0.32', '-0.45', ' 9.33'] 
Timestamp: 1656014461.712272, Acceleration: [' 0.28', '-0.16', '26.26'], Velocity: [' 0.57', '-0.68', '16.59'], Position: [' 0.33', '-0.45', ' 9.49'] 
Timestamp: 1656014461.7224686, Acceleration: [' 0.30', ' 0.80', '27.33'], Velocity: [' 0.58', '-0.67', '16.77'], Position: [' 0.33', '-0.46', ' 9.66'] 
