Timestamp: 1652804043.6759224, Acceleration: [' 0.18', ' 0.31', ' 0.59'], Velocity: [' 0.05', ' 0.35', '-9.41'], Position: [' 0.01', ' 0.19', '-5.58'] 
Timestamp: 1652804043.685896, Acceleration: [' 0.02', ' 0.36', ' 0.67'], Velocity: [' 0.05', ' 0.35', '-9.50'], Position: [' 0.01', ' 0.20', '-5.68'] 
Timestamp: 1652804043.6956818, Acceleration: ['-0.01', ' 0.46', ' 0.60'], Velocity: [' 0.05', ' 0.36', '-9.59'], Position: [' 0.01', ' 0.20', '-5.77'] 
Timestamp: 1652804043.7123258, Acceleration: [' 0.30', ' 0.33', ' 0.89'], Velocity: [' 0.05', ' 0.36', '-9.74'], Position: [' 0.01', ' 0.21', '-5.93'] 
Timestamp: 1652804043.720424, Acceleration: [' 0.23', ' 0.36', ' 0.85'], Velocity: [' 0.06', ' 0.36', '-9.81'], Position: [' 0.01', ' 0.21', '-6.01'] 
Timestamp: 1652804043.7282689, Acceleration: [' 0.07', ' 0.27', ' 0.91'], Velocity: [' 0.06', ' 0.37', '-9.88'], Position: [' 0.01', ' 0.21', '-6.09'] 
Timestamp: 1652804043.7357953, Acceleration: ['-0.03', ' 0.34', ' 0.65'], Velocity: [' 0.06', ' 0.37', '-9.95'], Position: [' 0.01', ' 0.21', '-6.17'] 
Timestamp: 1652804043.745824, Acceleration: ['-0.02', ' 0.31', ' 0.79'], Velocity: [' 0.06', ' 0.37', '-10.04'], Position: [' 0.01', ' 0.22', '-6.27'] 
Timestamp: 1652804043.7556837, Acceleration: ['-0.04', ' 0.39', ' 0.72'], Velocity: [' 0.06', ' 0.38', '-10.13'], Position: [' 0.01', ' 0.22', '-6.37'] 
Timestamp: 1652804043.7657545, Acceleration: [' 0.02', ' 0.42', ' 0.83'], Velocity: [' 0.06', ' 0.38', '-10.22'], Position: [' 0.01', ' 0.23', '-6.47'] 
Timestamp: 1652804043.7759452, Acceleration: ['-0.01', ' 0.27', ' 0.78'], Velocity: [' 0.06', ' 0.38', '-10.31'], Position: [' 0.02', ' 0.23', '-6.58'] 
Timestamp: 1652804043.7857852, Acceleration: [' 0.05', ' 0.23', ' 0.81'], Velocity: [' 0.06', ' 0.38', '-10.40'], Position: [' 0.02', ' 0.23', '-6.68'] 
Timestamp: 1652804043.7956295, Acceleration: [' 0.05', ' 0.30', ' 0.90'], Velocity: [' 0.06', ' 0.39', '-10.49'], Position: [' 0.02', ' 0.24', '-6.78'] 
Timestamp: 1652804043.8062155, Acceleration: [' 0.01', ' 0.33', ' 0.89'], Velocity: [' 0.06', ' 0.39', '-10.58'], Position: [' 0.02', ' 0.24', '-6.90'] 
Timestamp: 1652804043.8158154, Acceleration: [' 0.10', ' 0.43', ' 0.92'], Velocity: [' 0.06', ' 0.40', '-10.67'], Position: [' 0.02', ' 0.25', '-7.00'] 
Timestamp: 1652804043.8256443, Acceleration: [' 0.19', ' 0.36', ' 1.01'], Velocity: [' 0.06', ' 0.40', '-10.75'], Position: [' 0.02', ' 0.25', '-7.10'] 
Timestamp: 1652804043.8359077, Acceleration: [' 0.17', ' 0.41', ' 1.02'], Velocity: [' 0.06', ' 0.40', '-10.84'], Position: [' 0.02', ' 0.25', '-7.22'] 
Timestamp: 1652804043.8457246, Acceleration: [' 0.25', ' 0.35', ' 0.93'], Velocity: [' 0.06', ' 0.41', '-10.93'], Position: [' 0.02', ' 0.26', '-7.32'] 
Timestamp: 1652804043.8556046, Acceleration: [' 0.19', ' 0.44', ' 0.85'], Velocity: [' 0.07', ' 0.41', '-11.02'], Position: [' 0.02', ' 0.26', '-7.43'] 
Timestamp: 1652804043.8656142, Acceleration: [' 0.18', ' 0.50', ' 0.84'], Velocity: [' 0.07', ' 0.42', '-11.11'], Position: [' 0.02', ' 0.27', '-7.54'] 
Timestamp: 1652804043.878939, Acceleration: ['-0.07', ' 0.26', ' 0.75'], Velocity: [' 0.07', ' 0.42', '-11.23'], Position: [' 0.02', ' 0.27', '-7.70'] 
Timestamp: 1652804043.8856807, Acceleration: [' 0.24', ' 0.56', ' 0.94'], Velocity: [' 0.07', ' 0.42', '-11.29'], Position: [' 0.02', ' 0.27', '-7.77'] 
Timestamp: 1652804043.8973727, Acceleration: [' 0.28', ' 0.38', ' 0.69'], Velocity: [' 0.07', ' 0.43', '-11.39'], Position: [' 0.02', ' 0.28', '-7.91'] 
Timestamp: 1652804043.9058886, Acceleration: [' 0.15', ' 0.32', ' 0.67'], Velocity: [' 0.07', ' 0.43', '-11.47'], Position: [' 0.02', ' 0.28', '-8.00'] 
Timestamp: 1652804043.915634, Acceleration: [' 0.01', ' 0.40', ' 0.66'], Velocity: [' 0.07', ' 0.43', '-11.56'], Position: [' 0.02', ' 0.29', '-8.12'] 
Timestamp: 1652804043.9255824, Acceleration: [' 0.15', ' 0.48', ' 0.60'], Velocity: [' 0.07', ' 0.44', '-11.65'], Position: [' 0.02', ' 0.29', '-8.23'] 
