Timestamp: 1652971676.9304137, Acceleration: [' 0.27', ' 0.61', ' 1.77'], Velocity: [' 0.24', ' 0.42', '-6.12'], Position: [' 0.12', ' 0.18', '-2.82'] 
Timestamp: 1652971676.937498, Acceleration: [' 0.40', ' 0.47', ' 1.80'], Velocity: [' 0.24', ' 0.42', '-6.17'], Position: [' 0.12', ' 0.18', '-2.87'] 
Timestamp: 1652971676.9507275, Acceleration: [' 0.24', ' 0.69', ' 2.02'], Velocity: [' 0.25', ' 0.43', '-6.28'], Position: [' 0.13', ' 0.19', '-2.95'] 
Timestamp: 1652971676.9582887, Acceleration: [' 0.23', ' 0.47', ' 1.79'], Velocity: [' 0.25', ' 0.43', '-6.34'], Position: [' 0.13', ' 0.19', '-3.00'] 
Timestamp: 1652971676.9651875, Acceleration: [' 0.55', ' 0.45', ' 1.84'], Velocity: [' 0.25', ' 0.44', '-6.39'], Position: [' 0.13', ' 0.19', '-3.04'] 
Timestamp: 1652971676.9766958, Acceleration: [' 0.38', ' 0.64', ' 1.92'], Velocity: [' 0.26', ' 0.44', '-6.48'], Position: [' 0.13', ' 0.20', '-3.12'] 
Timestamp: 1652971676.9852366, Acceleration: [' 0.31', ' 0.43', ' 1.80'], Velocity: [' 0.26', ' 0.45', '-6.55'], Position: [' 0.13', ' 0.20', '-3.17'] 
Timestamp: 1652971676.9951584, Acceleration: [' 0.54', ' 0.65', ' 1.97'], Velocity: [' 0.26', ' 0.45', '-6.63'], Position: [' 0.14', ' 0.21', '-3.24'] 
Timestamp: 1652971677.005327, Acceleration: [' 0.46', ' 0.61', ' 2.02'], Velocity: [' 0.27', ' 0.46', '-6.71'], Position: [' 0.14', ' 0.21', '-3.31'] 
Timestamp: 1652971677.0153384, Acceleration: [' 0.07', ' 0.62', ' 1.80'], Velocity: [' 0.27', ' 0.47', '-6.79'], Position: [' 0.14', ' 0.22', '-3.38'] 
Timestamp: 1652971677.0277574, Acceleration: [' 0.42', ' 0.73', ' 2.00'], Velocity: [' 0.27', ' 0.48', '-6.88'], Position: [' 0.15', ' 0.22', '-3.46'] 
Timestamp: 1652971677.0352805, Acceleration: [' 0.47', ' 0.62', ' 2.01'], Velocity: [' 0.28', ' 0.48', '-6.94'], Position: [' 0.15', ' 0.23', '-3.52'] 
Timestamp: 1652971677.045227, Acceleration: [' 0.08', ' 0.60', ' 1.78'], Velocity: [' 0.28', ' 0.49', '-7.02'], Position: [' 0.15', ' 0.23', '-3.59'] 
Timestamp: 1652971677.0552163, Acceleration: ['-0.05', ' 0.62', ' 1.84'], Velocity: [' 0.28', ' 0.49', '-7.10'], Position: [' 0.15', ' 0.24', '-3.66'] 
Timestamp: 1652971677.0652735, Acceleration: [' 0.39', ' 0.51', ' 1.84'], Velocity: [' 0.28', ' 0.50', '-7.18'], Position: [' 0.16', ' 0.24', '-3.73'] 
Timestamp: 1652971677.0765169, Acceleration: [' 0.42', ' 0.49', ' 1.79'], Velocity: [' 0.29', ' 0.50', '-7.27'], Position: [' 0.16', ' 0.25', '-3.81'] 
Timestamp: 1652971677.0852003, Acceleration: [' 0.09', ' 0.49', ' 1.64'], Velocity: [' 0.29', ' 0.51', '-7.34'], Position: [' 0.16', ' 0.25', '-3.88'] 
Timestamp: 1652971677.095144, Acceleration: [' 0.24', ' 0.56', ' 1.72'], Velocity: [' 0.29', ' 0.51', '-7.42'], Position: [' 0.17', ' 0.26', '-3.95'] 
