Timestamp: 1656014576.0680716, Acceleration: ['-2.94', ' 0.05', '-9.30'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.62'] 
Timestamp: 1656014576.0781167, Acceleration: ['-2.07', '-0.03', '-10.47'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.62'] 
Timestamp: 1656014576.0880446, Acceleration: ['-2.04', ' 0.18', '-10.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.62'] 
Timestamp: 1656014576.0994165, Acceleration: ['-1.14', '-0.12', '-9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.63'] 
Timestamp: 1656014576.1081336, Acceleration: ['-1.21', '-0.06', '-10.17'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.63'] 
Timestamp: 1656014576.1180234, Acceleration: ['-1.17', ' 0.01', '-9.14'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.63'] 
Timestamp: 1656014576.1287818, Acceleration: ['-0.93', '-0.11', '-9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.63'] 
Timestamp: 1656014576.1383052, Acceleration: ['-1.50', '-0.15', '-8.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.64'] 
Timestamp: 1656014576.1479812, Acceleration: ['-1.43', '-0.49', '-8.87'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.64'] 
Timestamp: 1656014576.1580663, Acceleration: ['-2.61', '-0.12', '-8.55'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.64'] 
Timestamp: 1656014576.168534, Acceleration: ['-2.13', '-0.04', '-10.22'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.65'] 
Timestamp: 1656014576.1784952, Acceleration: ['-2.11', ' 0.31', '-10.70'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.65'] 
Timestamp: 1656014576.1880963, Acceleration: ['-1.10', ' 0.05', '-9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.65'] 
Timestamp: 1656014576.1987014, Acceleration: ['-0.71', '-0.07', '-10.13'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.65'] 
Timestamp: 1656014576.2089415, Acceleration: ['-1.00', '-0.12', '-8.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.66'] 
Timestamp: 1656014576.217969, Acceleration: ['-1.00', '-0.13', '-9.84'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.66'] 
Timestamp: 1656014576.230318, Acceleration: ['-1.73', '-0.02', '-8.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.66'] 
Timestamp: 1656014576.2382612, Acceleration: ['-1.22', '-0.22', '-9.25'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.67'] 
Timestamp: 1656014576.247912, Acceleration: ['-2.12', '-0.19', '-8.51'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.67'] 
Timestamp: 1656014576.25846, Acceleration: ['-1.83', '-0.22', '-9.54'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.67'] 
Timestamp: 1656014576.2680986, Acceleration: ['-2.16', ' 0.17', '-10.61'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.67'] 
Timestamp: 1656014576.2780693, Acceleration: ['-1.35', ' 0.27', '-10.31'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.68'] 
Timestamp: 1656014576.2879643, Acceleration: ['-0.63', ' 0.18', '-10.67'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.68'] 
Timestamp: 1656014576.298018, Acceleration: ['-0.72', '-0.04', '-8.35'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.68'] 
Timestamp: 1656014576.3079662, Acceleration: ['-0.57', '-0.22', '-9.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.69'] 
Timestamp: 1656014576.3180134, Acceleration: ['-1.78', '-0.15', '-8.35'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.69'] 
Timestamp: 1656014576.3288543, Acceleration: ['-2.19', ' 0.04', '-9.53'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.69'] 
Timestamp: 1656014576.3378558, Acceleration: ['-1.97', ' 0.04', '-9.11'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.69'] 
Timestamp: 1656014576.3479798, Acceleration: ['-1.38', '-0.34', '-9.26'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.70'] 
Timestamp: 1656014576.3631415, Acceleration: ['-1.36', ' 0.03', '-8.29'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: ['-0.04', '-0.01', '-1.70'] 
